,is_repeated_guest,days_in_waiting_list
92376,0,0
92266,0,0
92267,0,0
92269,0,0
92270,0,0
92274,0,0
92275,0,0
92281,0,0
92285,0,0
92286,0,0
92292,0,0
92294,0,0
92295,0,0
92296,0,0
92301,0,0
92302,0,0
92309,0,0
92310,0,0
92315,0,0
92316,0,0
92324,0,0
92325,0,0
92264,0,0
92261,0,0
92254,0,0
92253,0,0
53866,0,0
88764,1,0
92157,0,0
92158,0,0
92159,0,0
92191,0,0
92192,0,0
92195,0,0
92197,0,0
92207,0,0
92326,0,0
92216,0,0
92220,0,0
92221,0,0
53865,0,0
92227,0,0
92228,0,0
92237,0,0
92238,0,0
92239,0,0
92241,0,0
92252,0,0
92217,0,0
53867,0,0
92341,0,0
92362,0,0
53856,0,0
53855,0,0
53854,0,0
53853,0,0
53852,0,0
53851,0,0
53850,0,0
53849,0,0
53848,0,0
53847,0,0
92754,0,0
25613,0,0
25610,0,0
25604,0,0
25603,0,0
25593,0,0
25562,0,0
25560,0,0
25543,0,0
92655,0,0
53857,0,0
53858,0,0
53859,0,0
53860,0,0
92367,0,0
92373,0,0
92375,0,0
25630,0,0
92406,0,0
53864,0,0
92407,0,0
92416,0,0
92418,0,0
92429,0,0
92355,0,0
92440,0,0
92490,0,0
92548,0,0
92550,0,0
92555,0,0
92556,0,0
92585,0,0
92586,0,0
53863,0,0
53862,0,0
53861,0,0
92442,0,0
53868,0,0
92226,0,0
53870,0,0
25875,0,0
25768,0,0
25726,0,0
53917,0,0
53916,0,0
53915,0,0
25893,0,0
53914,0,0
53912,0,0
53911,0,0
53910,0,0
53909,0,0
53908,0,0
53907,0,0
53913,0,0
53869,0,0
6781,0,0
6780,0,0
6765,0,0
6766,0,0
6767,0,0
6768,0,0
6769,0,0
6770,0,0
6771,0,0
6772,0,0
6773,0,0
6774,0,0
6775,0,0
6776,0,0
6777,0,0
6778,0,0
6779,0,0
53906,0,0
53905,0,40
25764,0,0
53903,0,0
53872,0,0
53873,0,0
53874,0,0
53887,0,0
53875,0,0
53904,0,0
53876,0,0
53877,0,0
53878,0,0
53879,0,0
53886,0,0
53885,0,0
53880,0,0
53884,0,0
53883,0,0
53871,0,0
53882,0,0
53881,0,0
53892,0,0
53902,0,0
53901,0,0
53900,0,0
53899,0,0
53898,0,0
53888,0,0
53889,0,0
53890,0,0
53897,0,0
53891,0,0
53896,0,0
53893,0,0
53894,0,0
53895,0,0
94638,0,0
94692,0,0
94592,0,0
94602,0,0
94610,0,0
94670,0,0
94634,0,0
94655,0,0
94611,0,0
94544,0,0
94591,0,0
94704,0,0
94453,0,0
94460,0,0
94461,0,0
26696,0,0
94474,0,0
94480,0,0
94488,0,0
94489,0,0
94490,0,0
94493,0,0
94500,0,0
94521,0,0
54986,0,0
94553,0,0
94556,0,0
94569,0,0
94449,0,0
94705,0,0
26795,0,0
94707,0,0
94444,0,0
94819,0,0
94947,0,0
54987,0,0
54988,0,0
54989,0,0
54990,0,0
54991,0,0
54992,0,0
54993,0,0
27162,0,0
26904,0,0
26796,0,0
54984,0,0
26789,0,0
26787,0,0
26778,0,0
26754,0,0
26753,0,0
26751,0,0
26749,0,0
26743,0,0
26713,0,0
26712,0,0
26709,0,0
26707,0,0
26703,0,0
26699,0,0
94798,0,0
94706,0,0
94436,0,0
94529,0,0
94434,0,0
54962,0,0
54961,0,0
54960,0,0
54959,0,0
54958,0,0
54957,0,0
54956,0,0
54963,0,0
54955,0,0
54953,0,0
54952,0,0
54951,0,0
54950,0,0
26693,0,0
94215,0,0
94216,0,0
54954,0,0
54964,0,0
54965,0,0
54966,0,0
54983,0,0
54982,0,0
54981,0,0
54980,0,0
54979,0,0
54978,0,0
54977,0,0
54976,0,0
54975,0,0
54974,0,0
54973,0,0
54972,0,0
54971,0,0
54970,0,0
54969,0,0
54968,0,0
54967,0,0
94217,0,0
94435,0,0
94239,0,0
94241,0,0
94336,0,0
94338,0,0
94340,0,0
94341,0,0
94357,0,0
94358,0,0
94360,0,0
94334,0,0
94367,0,0
94413,0,0
94416,0,0
94417,0,0
94422,0,0
94423,0,0
94431,0,0
94433,0,0
94406,0,0
94333,0,0
94332,0,0
94331,0,0
94242,0,0
94243,0,0
94245,0,0
94247,0,0
94250,0,0
94255,0,0
94256,0,0
94257,0,0
94258,0,0
94261,0,0
94264,0,0
94265,0,0
94275,0,0
94305,0,0
94306,0,0
94322,0,0
94323,0,0
94240,0,0
26691,0,0
26790,0,0
26679,0,0
7294,0,0
7295,0,0
7296,0,0
7297,0,0
7298,0,0
7299,0,0
7300,0,0
7301,0,0
7302,0,0
7303,0,0
19182,0,0
26683,0,0
26462,0,0
26482,0,0
26484,1,0
26496,0,0
7293,0,0
7292,0,0
7291,0,0
7290,0,0
7270,0,0
7271,0,0
7272,0,0
7273,0,0
7274,0,0
7275,0,0
7276,0,0
7277,0,0
7278,0,0
26512,0,0
7279,0,0
7281,0,0
7282,0,0
7283,0,0
7284,0,0
7285,0,0
7286,0,0
7287,0,0
7288,0,0
7289,0,0
7280,0,0
26516,0,0
54985,0,0
26557,0,0
26517,0,0
26569,0,0
26578,0,0
26581,0,0
26582,0,0
26590,0,0
26594,0,0
26598,0,0
26602,0,0
26591,0,0
26605,0,0
26606,0,0
26612,0,0
26634,0,0
26643,0,0
26647,0,0
26652,0,0
26670,0,0
26604,0,0
26673,0,0
56238,0,0
56237,0,0
56236,0,0
96771,0,0
96845,0,0
96780,0,0
56239,0,0
56235,0,0
56240,0,0
27706,0,0
56242,0,0
56243,0,0
56244,0,0
56245,0,0
56246,0,0
56247,0,0
56248,0,0
27655,0,0
56241,0,0
96745,0,0
27671,0,0
96730,0,0
96398,0,0
96392,0,0
96389,0,0
96388,0,0
96382,0,0
96376,0,0
96361,0,0
96733,0,0
96357,0,0
27657,0,0
27656,0,0
96642,0,0
96660,0,0
96666,0,0
96697,0,0
96720,0,0
96729,0,0
27697,0,0
27651,0,0
7897,0,0
7906,0,0
7883,0,0
7882,0,0
7881,0,0
7880,0,0
7879,0,0
27644,0,0
27640,0,0
27635,0,0
7884,0,0
27631,0,0
27616,0,0
27615,0,0
27614,0,0
27613,0,0
27610,0,0
27604,0,0
27596,0,0
27519,0,0
27621,0,0
78732,1,0
7885,0,0
7887,0,0
7905,0,0
7904,0,0
7903,0,0
7902,0,0
7901,0,0
7900,0,0
7899,0,0
7898,0,0
7886,0,0
96409,0,0
7895,0,0
7894,0,0
7893,0,0
7892,0,0
7891,0,0
7890,0,0
7889,0,0
7888,0,0
7896,0,0
96413,0,0
96755,0,0
96420,0,0
56213,0,0
56214,0,0
56215,0,0
56216,0,0
56217,0,0
56218,0,0
56219,0,0
56220,0,0
56221,0,0
56222,0,0
56223,0,0
56224,0,0
56225,0,0
56226,0,0
56227,0,0
56228,0,0
56229,0,0
56230,0,0
56231,0,0
56232,0,0
56233,0,0
56234,0,0
28022,0,0
27957,0,0
27946,0,0
56212,0,0
56211,0,0
56210,0,0
56209,0,0
27672,0,0
27674,0,0
27675,0,0
27676,0,0
96641,0,0
96637,0,0
27681,0,0
27683,0,0
56192,0,0
56193,0,0
56194,0,0
56195,0,0
27910,0,0
56196,0,0
56198,0,0
56199,0,0
96418,0,0
56200,0,0
56201,0,0
56202,0,0
56203,0,0
56204,0,0
56205,0,0
56206,0,0
56207,0,0
56208,0,0
56197,0,0
27906,0,0
27919,0,0
27782,0,0
96552,0,0
96547,0,0
96545,0,0
96537,0,0
96536,0,0
96531,0,0
96530,0,0
96529,0,0
96528,0,0
96527,0,0
96526,0,0
96524,0,0
27904,0,0
96523,0,0
96515,0,0
96514,0,0
96504,0,0
96498,0,0
96493,0,0
96484,0,0
96461,0,0
96460,0,0
96448,0,0
96439,0,0
96434,0,0
96423,0,0
96516,0,0
96555,0,0
96553,0,0
96564,0,0
27774,0,0
27714,0,0
27713,0,0
27712,0,0
27709,0,0
96561,0,0
96615,0,0
96625,0,0
96602,0,0
96572,0,0
96601,0,0
96577,0,0
96580,0,0
96595,0,0
96600,0,0
96607,0,0
82032,0,17
82031,0,17
82030,0,17
82033,0,17
82029,0,17
82027,0,17
82026,0,17
82025,0,17
82024,0,17
82023,0,17
82022,0,17
82021,0,17
82020,0,17
82028,0,17
82034,0,17
57848,0,174
82036,0,17
57810,0,0
57811,0,0
57812,0,0
57813,0,0
57814,0,0
57815,0,174
57816,0,0
57817,0,0
57818,0,0
57819,0,174
57820,0,0
57821,0,0
57822,0,0
57823,0,174
57824,0,0
57809,0,0
57808,0,0
57807,0,0
57806,0,0
57788,0,0
57791,0,0
57792,0,0
57793,0,0
57795,0,0
57796,0,0
57825,0,0
57797,0,0
57799,0,0
57800,0,0
57801,0,0
57802,0,0
57803,0,0
57804,0,0
57805,0,0
57798,0,0
57826,0,0
57827,0,0
57828,0,174
57850,0,174
57851,0,0
57852,0,0
57853,0,0
57854,0,0
57855,0,0
57856,0,0
57849,0,174
57857,0,0
82043,0,17
82042,0,17
82041,0,17
82040,0,17
82039,0,17
82038,0,17
82037,0,17
57858,0,0
82035,0,17
57847,0,0
57845,0,174
57829,0,0
57830,0,174
57831,0,0
57832,0,174
57833,0,0
57834,0,0
57835,0,0
57846,0,0
57836,0,174
57838,0,0
57839,0,174
57840,0,0
57841,0,174
57842,0,174
57843,0,0
57844,0,174
57837,0,0
57794,0,0
57789,0,0
80241,1,0
98709,0,174
98708,0,174
98707,0,0
98705,0,0
98703,0,0
98702,0,0
98672,0,0
98652,0,0
98651,0,0
98710,0,174
98650,0,0
98646,0,0
98645,0,0
98644,0,0
98635,0,0
98630,0,0
98620,0,0
98373,0,0
28368,0,0
98648,0,0
28382,0,0
98711,0,174
98715,0,0
82019,0,17
19763,1,1
99105,0,0
98898,0,0
98835,0,0
98826,0,0
98807,0,0
98806,0,0
98779,0,0
98714,0,0
98776,0,0
98763,0,0
98758,0,0
98749,0,0
98747,0,0
98741,0,0
98734,0,0
98718,0,0
98717,0,0
98716,0,0
98765,0,0
28383,0,0
99026,0,0
28407,0,0
8500,0,0
8499,0,0
8498,0,0
8497,0,0
8495,0,0
8494,0,0
8493,0,0
8492,0,0
8491,0,0
8490,0,0
8489,0,0
8488,0,0
8487,0,0
8486,0,0
8485,0,0
8484,0,0
8482,0,0
28386,0,0
8483,0,0
8501,0,0
8502,0,0
8496,0,0
8504,0,0
28410,0,0
28449,0,0
28461,0,0
28486,0,0
8503,0,0
28500,0,0
28501,0,0
28503,0,0
28585,0,0
28609,0,0
28611,0,0
28494,0,0
28784,0,0
28836,0,0
8505,0,0
8506,0,0
28627,0,0
59765,0,0
59766,0,0
59767,0,0
59768,0,0
59769,0,0
59770,0,0
59771,0,0
59772,0,0
59779,0,0
59774,0,0
59775,0,0
59776,0,0
59780,0,0
59777,0,0
59781,0,0
59778,0,0
59764,0,0
59782,0,0
59773,0,0
59763,0,0
59746,0,0
59761,0,0
59741,0,0
