,is_canceled
92376,0
92266,0
92267,0
92269,0
92270,0
92274,0
92275,0
92281,0
92285,0
92286,0
92292,0
92294,0
92295,0
92296,0
92301,0
92302,0
92309,0
92310,0
92315,0
92316,0
92324,0
92325,0
92264,0
92261,0
92254,0
92253,0
53866,1
88764,0
92157,0
92158,0
92159,0
92191,0
92192,0
92195,0
92197,0
92207,0
92326,0
92216,0
92220,0
92221,0
53865,1
92227,0
92228,0
92237,0
92238,0
92239,0
92241,0
92252,0
92217,0
53867,1
92341,0
92362,0
53856,1
53855,1
53854,1
53853,1
53852,1
53851,1
53850,1
53849,1
53848,1
53847,1
92754,0
25613,0
25610,0
25604,0
25603,0
25593,0
25562,0
25560,0
25543,0
92655,0
53857,1
53858,1
53859,1
53860,1
92367,0
92373,0
92375,0
25630,0
92406,0
53864,1
92407,0
92416,0
92418,0
92429,0
92355,0
92440,0
92490,0
92548,0
92550,0
92555,0
92556,0
92585,0
92586,0
53863,1
53862,1
53861,1
92442,0
53868,1
92226,0
53870,1
25875,0
25768,0
25726,0
53917,1
53916,1
53915,1
25893,0
53914,0
53912,0
53911,1
53910,1
53909,1
53908,1
53907,1
53913,1
53869,1
6781,0
6780,1
6765,1
6766,1
6767,1
6768,1
6769,0
6770,1
6771,1
6772,1
6773,1
6774,0
6775,1
6776,1
6777,0
6778,0
6779,1
53906,1
53905,1
25764,0
53903,1
53872,1
53873,1
53874,1
53887,1
53875,1
53904,1
53876,0
53877,1
53878,1
53879,1
53886,1
53885,1
53880,1
53884,1
53883,1
53871,1
53882,1
53881,1
53892,1
53902,1
53901,1
53900,1
53899,1
53898,1
53888,1
53889,1
53890,1
53897,1
53891,1
53896,1
53893,1
53894,1
53895,1
94638,0
94692,0
94592,0
94602,0
94610,0
94670,0
94634,0
94655,0
94611,0
94544,0
94591,0
94704,0
94453,0
94460,0
94461,0
26696,0
94474,0
94480,0
94488,0
94489,0
94490,0
94493,0
94500,0
94521,0
54986,1
94553,0
94556,0
94569,0
94449,0
94705,0
26795,0
94707,0
94444,0
94819,0
94947,0
54987,1
54988,1
54989,1
54990,1
54991,1
54992,1
54993,1
27162,0
26904,0
26796,0
54984,1
26789,0
26787,0
26778,0
26754,0
26753,0
26751,0
26749,0
26743,0
26713,0
26712,0
26709,0
26707,0
26703,0
26699,0
94798,0
94706,0
94436,0
94529,0
94434,0
54962,0
54961,1
54960,1
54959,0
54958,1
54957,1
54956,1
54963,1
54955,1
54953,1
54952,1
54951,1
54950,1
26693,0
94215,0
94216,0
54954,1
54964,1
54965,1
54966,1
54983,1
54982,1
54981,1
54980,1
54979,1
54978,1
54977,1
54976,1
54975,1
54974,1
54973,1
54972,1
54971,1
54970,1
54969,1
54968,1
54967,1
94217,0
94435,0
94239,0
94241,0
94336,0
94338,0
94340,0
94341,0
94357,0
94358,0
94360,0
94334,0
94367,0
94413,0
94416,0
94417,0
94422,0
94423,0
94431,0
94433,0
94406,0
94333,0
94332,0
94331,0
94242,0
94243,0
94245,0
94247,0
94250,0
94255,0
94256,0
94257,0
94258,0
94261,0
94264,0
94265,0
94275,0
94305,0
94306,0
94322,0
94323,0
94240,0
26691,0
26790,0
26679,0
7294,0
7295,1
7296,1
7297,0
7298,0
7299,1
7300,1
7301,1
7302,1
7303,1
19182,1
26683,0
26462,0
26482,0
26484,0
26496,0
7293,1
7292,1
7291,1
7290,0
7270,1
7271,1
7272,1
7273,1
7274,1
7275,0
7276,0
7277,1
7278,1
26512,0
7279,1
7281,1
7282,1
7283,1
7284,1
7285,0
7286,1
7287,1
7288,1
7289,1
7280,1
26516,0
54985,1
26557,0
26517,0
26569,0
26578,0
26581,0
26582,0
26590,0
26594,0
26598,0
26602,0
26591,0
26605,0
26606,0
26612,0
26634,0
26643,0
26647,0
26652,0
26670,0
26604,0
26673,0
56238,1
56237,1
56236,1
96771,0
96845,0
96780,0
56239,1
56235,1
56240,1
27706,0
56242,1
56243,1
56244,1
56245,1
56246,0
56247,1
56248,1
27655,0
56241,1
96745,0
27671,0
96730,0
96398,0
96392,0
96389,0
96388,0
96382,0
96376,0
96361,0
96733,0
96357,0
27657,0
27656,0
96642,0
96660,0
96666,0
96697,0
96720,0
96729,0
27697,0
27651,0
7897,1
7906,0
7883,1
7882,1
7881,1
7880,1
7879,1
27644,0
27640,0
27635,0
7884,1
27631,0
27616,0
27615,0
27614,0
27613,0
27610,0
27604,0
27596,0
27519,0
27621,0
78732,1
7885,1
7887,1
7905,1
7904,0
7903,1
7902,1
7901,1
7900,0
7899,1
7898,0
7886,0
96409,0
7895,1
7894,1
7893,1
7892,1
7891,1
7890,1
7889,1
7888,1
7896,1
96413,0
96755,0
96420,0
56213,1
56214,1
56215,1
56216,1
56217,1
56218,1
56219,1
56220,1
56221,1
56222,1
56223,1
56224,1
56225,1
56226,1
56227,1
56228,1
56229,1
56230,1
56231,1
56232,1
56233,1
56234,1
28022,0
27957,0
27946,0
56212,1
56211,1
56210,1
56209,1
27672,0
27674,0
27675,0
27676,0
96641,0
96637,0
27681,0
27683,0
56192,1
56193,1
56194,1
56195,1
27910,0
56196,1
56198,1
56199,1
96418,0
56200,1
56201,1
56202,1
56203,1
56204,1
56205,1
56206,1
56207,1
56208,1
56197,1
27906,0
27919,0
27782,0
96552,0
96547,0
96545,0
96537,0
96536,0
96531,0
96530,0
96529,0
96528,0
96527,0
96526,0
96524,0
27904,0
96523,0
96515,0
96514,0
96504,0
96498,0
96493,0
96484,0
96461,0
96460,0
96448,0
96439,0
96434,0
96423,0
96516,0
96555,0
96553,0
96564,0
27774,0
27714,0
27713,0
27712,0
27709,0
96561,0
96615,0
96625,0
96602,0
96572,0
96601,0
96577,0
96580,0
96595,0
96600,0
96607,0
82032,1
82031,1
82030,1
82033,1
82029,1
82027,1
82026,1
82025,1
82024,1
82023,1
82022,1
82021,1
82020,1
82028,1
82034,1
57848,1
82036,1
57810,1
57811,1
57812,1
57813,1
57814,1
57815,1
57816,1
57817,1
57818,1
57819,1
57820,1
57821,1
57822,1
57823,1
57824,1
57809,1
57808,1
57807,1
57806,1
57788,1
57791,1
57792,1
57793,1
57795,1
57796,1
57825,1
57797,1
57799,1
57800,1
57801,1
57802,1
57803,1
57804,1
57805,1
57798,1
